PaisAccidente,OperadorAerolinea,Fecha,LugarAccidente,TipoAeronave
 California,Pacific Air Transport,1932-05-16,Burbank- California,Boeing 40
 Oregon,Pacific Air Transport,1933-01-24,Eugene- Oregon,Ford 5-AT-D
 Philippines,Pacific Airways,1999-06-09,Coron- Philippines,Britten-Norman BN-2A-21 Islander
 Alaska,Pacific Alaska Air Freight,1948-11-04,Cape Spencer- Alaska,Douglas DC-3
 Alaska,Pacific Alaska Airlines,1975-02-16,Fairbanks- Alaska,Douglas DC-6BF
 Canada,Pacific Coastal Airlines,1979-09-18,Blink Horn Point- Canada,Britten Norman BN-7A lslander
 Canada,Pacific Coastal Airlines,1994-09-17,Fish Egg Inlet- Canada,de Havilland Canada DHC-6 Twin Otter 100
 British Colombia,Pacific Coastal Airlines,2008-08-03,North Vancouver Island- British Colombia- Canada,Grumman G-21A Goose
 British Columbia,Pacific Coastal Airlines,2008-11-16,Thormanby Island- British Columbia- Canada,Grumman G-21A Goose
 Alaska,Pacific Northern Airlines,1960-06-14,Mt. Gilbert- Alaska,Lockheed 749A-79-32 Constellation
 Hong Kong,Pacific Overseas Airways,1951-03-11,Mt. Butler- Hong Kong,Douglas DC-4
 California,Pacific Southwest Airlines,1972-07-05,San Francisco- California,Boeing 737-200
 California,Pacific Southwest Airlines,1987-12-07,San Luis Obispo- California,British Aerospace BAe-146-200A
 BC,Pacific Western,1957-06-23,Port Hardy- BC- Canada,Douglas DC-3
 Alaska,Pacific Western,1966-03-10,Reef Island- Alaska,Grumman G-21A
 Alberta,Pacific Western Airlines,1955-09-17,Near Thorhild- Alberta- Canada,Bristol 170 Freighter 31
 Canada,Pacific Western Airlines,1969-09-17,Campbell River- Canada,Convair CV-640
 Alberta,Pacific Western Airlines,1973-01-02,Edmonton- Alberta- Canada,Boeing 707-321C
 British Columbia,Pacific Western Airlines,1978-02-11,Cranbrook- British Columbia- Canada,Boeing B-737-275
,Page Airways,1945-04-27,Washington D.C.,Lockheed 18 Lodestar
 Pakistan,Pakair,1949-12-12,Jungshahi- Pakistan,Douglas DC-3
 Pakistan,Pakistan Airways,1948-11-26,Vehari- Pakistan,Douglas DC-3
 Pakistan,Pakistan International Airline,2020-05-22,Karachi- Pakistan,Airbus A320-214
 Pakistan,Pakistan International Airlines,1956-02-25,Jalkot- Pakistan,Douglas C-47B
 Pakistan,Pakistan International Airlines,1957-07-01,Bay of Bengal- Pakistan,Douglas DC-3
 India,Pakistan International Airlines,1958-05-15,New Delhi- India,Convair CV-240-7
 Pakistan,Pakistan International Airlines,1959-08-14,Karachi- Pakistan,Vickers 815 Viscount
 Pakistan,Pakistan International Airlines,1965-03-26,Lowery Pass- Pakistan,Douglas C-47
 Egypt,Pakistan International Airlines,1965-05-20,Cairo- Egypt,Boeing B-720-040B
 Pakistan,Pakistan International Airlines,1965-10-08,Near Patian- Pakistan,Fokker F-27 Friendship 200
 Pakistan,Pakistan International Airlines,1970-08-06,Islamabad- Pakistan,Fokker F-27 Friendship 200
 Pakistan,Pakistan International Airlines,1970-12-31,Near Shemshernagar- Pakistan,Fokker F-27 Friendship 200
 Pakistan,Pakistan International Airlines,1972-12-08,Near Rawalpindi- Pakistan,Fokker F-27 Friendship 400
 Jeddah,Pakistan International Airlines,1979-11-26,Near At Ta'if- Jeddah- Saudi Arabia,Boeing B-707-340C
 Pakistan,Pakistan International Airlines,1986-10-23,Near Peshawar- Pakistan,Fokker F-27 Friendship 600
 Pakistan,Pakistan International Airlines,1989-08-25,Near Gilgit- Pakistan,Fokker F-27 Friendship 200
 Nepal,Pakistan International Airlines,1992-09-28,Near Kathmandu- Nepal,Airbus A300B4-203
 Pakistan,Pakistan International Airlines,2006-07-10,Multan- Pakistan,Fokker F-27 Friendship 200
 Pakistan,Pakistan International Airlines,2016-12-07,Near Havlien- Pakistan,ATR-42-500
 Macedonia,Palair Macedonian,1993-03-05,Skopje- Macedonia,Fokker 100
 Illinois,Palwaukee,1933-06-11,Glenview- Illinois,Sikorsky S-38B (flying boat)
 Afghanistan,Pamir Airlines,2010-05-17,Salang pass- Afghanistan,Antonv An-24B
 Biafra,Pan African Airlines,1968-09-28,Port Harcourt- Biafra- Nigeria,Douglas C-54B
 Cuba,Pan American Airways,1929-06-13,Santiago de Cuba- Cuba,Fokker F-X
 Trinidad,Pan American Airways,1936-04-11,Port of Spain- Trinidad,Sikorsky S-42A Flying Boat
 Florida,Pan American Airways,1941-12-11,Miami- Florida,?
 Gilbert Islands,Pan American Airways,1944-07-31,Funafuti- Gilbert Islands- Pacific Ocean,Consolidated Catalina PB2Y-3R
 Germany,Pan American Airways,1966-11-15,Near Dallgow- Germany,Boeing 727-21
 Colombia,Pan American Airways (Scadta),1934-03-10,Pereira- Colombia,Sikorsky S-38 Flying Boat
 Peru,Pan American Grace Airlines,1934-03-22,Near Lima- Peru,Ford 5-AT-C Tri-Motor
 Peru,Pan American Grace Airlines,1943-01-22,Near Chaparra- Peru,Douglas DC-3A
 Argentina,Pan American Grace Airways,1933-03-11,Near Mendoza- Argentina,Fairchild FC-2W
 Panama,Pan American Grace Airways,1937-08-02,Off Cristobal- Panama,Sikorsky S-43
 Argentina,Pan American Grace Airways,1937-08-23,San Luis- Argentina,Douglas DC-2
 Chile,Pan American Grace Airways,1938-06-19,Mount Mercedario- Chile,Douglas DC-2
 U.S. Samoa,Pan American World Airways,1938-01-11,Pago Pago- U.S. Samoa,Sikorsky S-42 (flying boat)
,Pan American World Airways,1938-07-29,Pacific Ocean between Manila and Guam,Martin M-130 (flying boat)
 Brazil,Pan American World Airways,1939-08-13,Rio de Janerio- Brazil,Sikorsky S43 (flying boat)
 Puerto Rico,Pan American World Airways,1941-10-03,San Juan- Puerto Rico,Sikorsky S-42B (flying boat)
 California,Pan American World Airways,1943-01-21,Ukiah- California,Martin M-130 (flying boat)
 Portugal,Pan American World Airways,1943-02-22,Lisbon- Portugal,Boeing B-314 (flying boat)
 Alaska,Pan American World Airways,1944-04-06,Near Nome- Alaska,Pilgrim 100B
 Cuba,Pan American World Airways,1944-08-08,Off Antilla- Cuba,Sikorsky S-42 (flying boat)
 Trinidad,Pan American World Airways,1945-01-08,Port of Spain- Trinidad,Martin M-130 (flying boat)
 Martinique,Pan American World Airways,1945-08-03,Fort de France- Martinique,Sikorsky S-43 (flying boat)
 Syria,Pan American World Airways,1947-06-19,Al Mayadin- Syria,Lockheed 049-46-21 Constellation
 Alaska,Pan American World Airways,1947-10-26,Annette Island- Alaska,Douglas DC-4A
 Ireland,Pan American World Airways,1948-04-15,Shannon- Ireland,Lockheed L-049-46 Constellation
 New York,Pan American World Airways,1949-01-30,Port Washington- New York,Lockheed L-749 / Cessna 140
 Liberia,Pan American World Airways,1951-06-22,Near Sanoyea- Liberia,Lockheed 049 Constellation
 Puerto Rico,Pan American World Airways,1952-04-11,North of San Juan- Puerto Rico,Douglas DC-4
 Brazil,Pan American World Airways,1952-04-29,Near Carolina- Brazil,Boeing 377-10-26 Stratocruiser
 Brazil,Pan American World Airways,1952-07-27,Off Rio de Janeiro- Brazil,Boeing 377 Stratocruiser
,Pan American World Airways,1955-03-26,Off the Oregon coast,Boeing 377 Stratocruiser 10-26
,Pan American World Airways,1956-10-16,Over the Pacific Ocean,Boeing 377 Stratocruiser
 Hawaii,Pan American World Airways,1957-11-08,900 miles E of Honolulu- Hawaii- Pacific Ocean,Boeing - 377-10-29 Stratocruiser
 Philippines,Pan American World Airways,1958-06-02,Manila- Philippines,Boeing 377 Stratocruiser 10-26
 Honduras,Pan American World Airways,1959-09-12,Near Tegucigalpa- Honduras,Douglas DC-4
 Maryland,Pan American World Airways,1963-12-08,Elkton- Maryland,Boeing B-707-121
 California,Pan American World Airways,1965-06-28,San Francisco- California,Boeing B-707-321B
 Montserrat,Pan American World Airways,1965-09-17,Chances Peak- Montserrat,Boeing B-707-121B
 India,Pan American World Airways,1968-06-12,Calcutta- India,Boeing B-707-321C
 Venezuela,Pan American World Airways,1968-12-12,Near Caracas- Venezuela,Boeing B-707-321B
 Alaska,Pan American World Airways,1968-12-26,Elmendorf Air Force Base- Alaska,Boeing 707-321CF
 Philippines,Pan American World Airways,1971-07-25,Manila- Philippines,Boeing 707-321CF
 California,Pan American World Airways,1971-07-30,San Francisco- California,Boeing B-747-121
 Tahiti,Pan American World Airways,1973-07-22,Off Papeete- Tahiti,Boeing B-707-321B
: Massachusetts,Pan American World Airways,1973-11-03,Boston-: Massachusetts,Boeing B-707-321C
 Italy,Pan American World Airways,1973-12-17,Rome- Italy,Boeing B-707-321B
 American Samoa,Pan American World Airways,1974-01-30,Pago Pago- American Samoa,Boeing B-707-321B
 HI,Pan American World Airways,1974-02-02,Near Honolulu- HI,Boeing B-747
 Bali,Pan American World Airways,1974-04-22,Grogak- Bali- Indonesia,Boeing B-707-321C
 Louisiana,Pan American World Airways,1982-07-09,Kenner- Louisiana,Boeing B-727-235
,Pan American World Airways,1982-08-11,Pacific Ocean,Boeing B-747-121
 Pakistan,Pan American World Airways,1986-09-05,Karachi- Pakistan,Boeing B-747-121
 Scotland,Pan American World Airways,1988-12-21,Lockerbie- Scotland,Boeing B-747-121A
 Canary Islands,Pan American World Airways / KLM,1977-03-27,Tenerife- Canary Islands,Boeing B-747-121 / Boeing B-747-206B
 Germany,Pan International,1971-09-06,Near Hasloh- Germany,BAC One-Eleven 515FB
 Indonesia,Pan Malaysian Air Transport,1993-01-31,Sumatra- Indonesia,Shorts SC-7 Skyvan 3-100
 near Vitacura,Panagra,1932-07-16,Mount El Plomo- near Vitacura- Chile,Ford 5-AT-C Tri Motor
 Argentina,Panagra,1934-06-11,Junin- Argentina,Ford 5-AT-C Tri-Motor
,Panagra,1938-07-19,Andes,Douglas DC-2
 Brazil,Panair do Brasil,1941-08-18,Near Sao Paulo- Brazil,Lockheed 18 LodeStar
 Brazil,Panair do Brasil,1944-08-30,Sao Paulo- Brazil,Lockheed 18 Lodestar
 Brazil,Panair do Brasil,1944-09-21,Rio Doce- Brazil,Lockheed 18 Lodestar
 Brazil,Panair do Brasil,1946-09-27,Rio Doce- Brazil,Douglas DC-3A-228D
 Brazil,Panair do Brasil,1947-01-03,Sao Paulo- Brazil,Sikorsky S-43B (flying boat)
 Brazil,Panair do Brasil,1950-07-28,Porte Alegre- Brazil,Lockheed 049 Constellation
 Brazil,Panair do Brasil,1952-02-28,Uberlandia- Brazil,Douglas DC-3A
 Brazil,Panair do Brasil,1953-06-17,Sao Paulo- Brazil,Lockheed 049-46-21 Constellation
 Paraguay,Panair do Brasil,1955-06-16,Near Asuncion- Paraguay,Lockheed 049-46-21 Constellation
 Brazil,Panair do Brasil,1956-04-18,Parintins- Brazil,Consolidated PBY-5A Catalina
 Brazil,Panair do Brasil,1961-11-01,Near Recife- Brazil,Douglas DC-7C
 Brazil,Panair do Brasil,1962-12-14,Near Manaus- Brazil,Lockheed 049-46-21 Constellation
 Brazil,Panair do Brasil SA,1942-09-28,Near Sao Paulo- Brazil,Lockheed 18 Loadstar
 Brazil,Panair do Brazil,1962-08-20,Rio de Janeiro- Brazil,McDonnell Douglas DC-8-33
 Panama,Panama Airways,1935-09-13,Near Tambo- Panama,Ford Tri-Motor
 Arizona,Papillon,2018-02-10,Grand Canyon- Arizona,Eurocopter EC 130B4
 Arizona,Papillon Grand Canyon Helicopters of Las Vegas,2001-08-10,Near Meadview- Arizona,Aerospatiale AS350 Eurocopter helicoper
 Nevada,Paradise Airlines,1964-03-01,Near Zephyr Cove- Nevada,Lockheed 049 Constellation
 Hawaii,Paradise Tour Helicopters,2003-06-15,Volcano- Hawaii,McDonnell Douglas 369D
 Brazil,Paraense Transportes Aereos,1970-03-14,Belem Bay- Brazil,Fairchild-Hiller FH-227B
 Brazil,Paraense Transportes Aéreos,1958-05-31,Rio de Janeiro- Brazil,Curtiss C-46D
 Brazil,Paraense Transportes Aéreos,1965-08-12,Near Cuiaba- Brazil,Curtiss C-46A
 Sierra Leone,Paramount Airlilnes,2007-06-03,Freetown- Sierra Leone,Mi-8
 Panama,Parsa,1997-12-31,Rio Sidra- Panama,Britten Norman BN-2A Trislander
 Denmark,Partnair,1989-09-08,Skagerrak- Denmark,Convair CV-580
 Kuwait,PAS,1959-07-15,Kuwait City- Kuwait,Avro 685 York
 Vietnam,Pathet Lao Airlines,1974-03-08,Hanoi- Vietnam,Antonov An-24
 Morroco,Paukn Air,1998-09-25,Near Nador- Morroco,British Aerospace BAe-146-100
 California,Paul Kelly Flying Service Inc.,1965-11-14,Near Palm Springs- California,Learjet 23
 California,Pavair,2003-12-23,Helendale- California,Gates Learjet 24B
 Turkey,Pegasus Airlines,2020-02-05,Istanbul- Turkey,Boeing 737-86J
 Australia,Pel Air,1985-10-10,Off South Head- Australia,IAI 1124 Westwind
 Philippines,Pelita Air Service,1967-04-27,Malaybalay- Philippines,Fokker F-27 Friendship 400
 Indonesia,Pelita Air Service,1980-01-23,Mt. Cemonyet- Indonesia,CASA 212 Aviocar 100
 Indonesia,Pelita Air Service,1982-05-28,Off Natuma Island- Indonesia,Aerospatiale 330G Puma
 Indonesia,Pelita Air Service,1990-01-02,Java Sea- Indonesia,CASA 212 Aviocar 200
 Indonesia,Pelita Air Service,1990-12-06,Near Matak- Indonesia,IPTN 332C Super Puma
 Alaska,PenAir,2001-10-10,Dillingham- Alaska,Cessna 208 Caravan
 Washingon,Peninsular,1955-11-17,Seattle- Washingon,Douglas C-54
 Pennsylvania,Pennsylvania Airlines,1983-10-28,Middletown- Pennsylvania,Shorts 330-200
 Virginia,Pennsylvania Central Airlines,1940-08-31,Near Lovettsville- Virginia,Douglas DC-3
 West Virginia,Pennsylvania Central Airlines,1945-04-14,Morgantown- West Virginia,Douglas DC-3
 Alabama,Pennsylvania Central Airlines,1946-01-06,Birmingham- Alabama,Douglas DC-3
 Virginia,Pennsylvania Central Airlines,1947-06-13,Leesburg- Virginia,Douglas DC-4 (C-54-DO)
 Suiyang County,People's Liberation Army Air Force,2018-01-29,Zhengchang- Suiyang County- Guizhou Province,Shaanxi Y-8GX-3
 Canada,Perimeter Airlines,2001-10-11,Shamattawa- Canada,Swearingen SA.226TC Metro I
,Permaviatrans,1998-09-02,Angola,Antonov AN-26
 California,Perris Valley Aviation,1992-04-22,Perris Valley- California,de Havilland Canada DHC-6 Twin Otter 200
 Peru,Peruvian Naval Aviation,1987-12-08,Off Lima- Peru,Fokker F-27 Friendship 400M
 Louisiana,Petroleum Helicopter,1966-10-08,Off Morgan City- Louisiana,Bell 204B helicopter
,Petroleum Helicopter,1975-11-03,Gulf of Mexico,Bell 212
,Petroleum Helicopter,1976-04-23,Gulf of Mexico,Bell 205 A-1 helicopter
 Louisiana,Petroleum Helicopter,1977-12-08,Intracostal City- Louisiana,SNIAS SA330J
,Petroleum Helicopters Inc,2009-01-04,Near Houma Louisiana,Sikorsky S-76C++
 Louisiana,Petrolium Helicopter,1972-05-29,Dulac- Louisiana,Bell 205A
 Louisiana,Petrolium Helo Inc.,1973-02-19,Morgan City- Louisiana,Bell 206B
 Russia,Petropavlovsk-Kamchatsky Air Enteprise,2012-09-12,Near Palana- Russia,Antonov An-28
 Ecuador,Petroproducción,2002-01-17,Near La Bonita- Ecuador,Fairchild FH-227E
 Texas,PHI Air Medical,2008-06-08,Huntsville- Texas,Bell 407
 Philippines,Philippine Aerotransport,1976-01-08,Mactan Island- Philippines,Britten-Norman BN-2A-21 Islander
 Philippines,Philippine Aerotransport,1976-05-05,Camuigan- Philippines,Britten-Norman BN-2A-21 Islander
 Philippines,Philippine Air Express,1947-11-02,Off Barrio Rizal- Philippines,Douglas DC-3
 Philippines,Philippine Air Force,1978-09-14,Paranaque- Philippines,Fokker F-27 Friendship 200
,Philippine Air Lines,1947-01-25,Hong Kong,Douglas C-47A
 off the Philippine island of Elalat,Philippine Air Lines,1949-05-07,Sibuyan Sea- off the Philippine island of Elalat,Douglas DC-3
Philippines,Philippine Air Lines,1950-01-24,Iloilo-Philippines,Douglas DC-3
 Philippines,Philippine Air Lines,1952-03-10,Cebu- Philippines,Douglas C-47A-35-DL
 Philippines,Philippine Air Lines,1952-03-30,Baguio- Philippines,Douglas DC-3
 Taiwan,Philippine Air Lines,1952-12-30,Chinmen Island- Taiwan,Douglas DC-3
 Italy,Philippine Air Lines,1954-01-14,Rome- Italy,Douglas DC-6
 Philippines,Philippine Air Lines,1957-12-11,Ozamis City- Philippines,de Havilland Canada DHC-3 Otter
 Philippines,Philippine Air Lines,1960-11-23,Manila- Philippines,Douglas DC-3
 Philippines,Philippine Air Lines,1960-12-22,Cebu City- Philippines,Douglas DC-3
 Philippines,Philippine Air Lines,1962-10-12,Manila- Philippines,Fokker F-27 Friendship 100
 Philippines,Philippine Air Lines,1963-03-02,Near Davao City- Philippines,Douglas DC-3
 Philippines,Philippine Air Lines,1964-02-21,Marawi- Philippines,Douglas DC-3
Philippines,Philippine Air Lines,1964-05-20,Sibuco Point -Philippines,de Havilland Canada DHC-3 Otter
 Philippines,Philippine Air Lines,1965-10-20,Near Manila- Philippines,Douglas DC-3
 Philippines,Philippine Air Lines,1966-06-29,Sablayan- Philippines,Douglas DC-3
 Philippines,Philippine Air Lines,1967-02-28,Mactan- Philippines,Fokker F-27 Friendship 100
 Philippines,Philippine Air Lines,1967-07-06,Bacolod- Philippines,Fokker F-27 Friendship 100
 Philippines,Philippine Air Lines,1969-09-12,Near Antipolo- Philippines,BAC One-Eleven 402AP
 Philippines,Philippine Air Lines,1970-04-21,Manila- Philippines,Hawker Siddeley HS-748-209
 Philippines,Philippine Air Lines,1970-05-09,Iligan- Philippines,Fokker F-27 Friendship 100
 Philippines,Philippine Air Lines,1970-06-02,Roxas- Philippines,Fokker F-27 Friendship 100
 Philippines,Philippine Air Lines,1975-02-03,Manila- Philippines,Hawker Siddeley HS-748 2
 Philippines,Philippine Air Lines,1975-06-03,Manila- Philippines,BAC One-Eleven 524FF
 Philipines,Philippine Air Lines,1976-05-23,Zamboanga- Philipines,BAC One-Eleven 527FK
 Philippines,Philippine Air Lines,1982-07-11,Jolo- Philippines,Hawker Siddeley HS-748-209 Srs. 2
 Philippines,Philippine Air Lines,1987-06-26,Near Baguio- Philippines,Hawker Siddeley HS-748-209 Srs. 2
 Philippines,Philippine Air Lines,1987-12-13,Near Iligan- Philippines,Shorts 360-300
 Philippines,Philippine Air Lines,1989-07-21,Manila- Philippines,BAC One-Eleven 516FP
 Philippines,Philippine Air Lines,1990-05-11,Manila- Philippines,Boeing B-737-3Y0
,Philippine Air Lines,1994-12-10,Pacific Ocean,Boeing B-747-200
 Philippines,Philippine Air Lines,1998-03-22,Bacolod- Philippines,Airbus A.320-214
 Philippines,Philippine Air Lines,2000-05-25,Near Manila- Philippines,Airbus A.330-301
 Sudan,Phoenix Airlines,1952-08-29,Kosti- Sudan,Douglas DC-2-115B
 England,Phoenix Aviation,1994-12-21,Coventry- England,Boeing 737-2D6C
 California,Pickwick Airways,1929-09-17,Jacumba- California,Fairchild 71
,Piedmont,1956-06-13,Over North Carolina,Douglas DC-3
 Virginia,Piedmont Airlines,1959-10-30,Waynesborough- Virginia,Douglas DC-3
 North Carolina,Piedmont Airlines,1966-11-20,Near New Bern- North Carolina,Martin 404
 West Virginia,Piedmont Airlines,1968-08-10,Charleston- West Virginia,Fairchild-Hiller FH-227B
 Connecticut,Pilgrim Airlines,1970-02-10,Long Island Sound- Connecticut,de Havilland Canada DHC-6 Twin Otter 100
 Rhode Island,Pilgrim Airlines,1982-02-21,Providence- Rhode Island,de Havilland DHC -6-100
 Missouri,Pinnacle Airlines/Northwest Airlink,2004-10-14,Jefferson City- Missouri,Canadair CRJ200LR RegionalJet
 Colorado,Pioneer Airlines,1982-12-07,Near Pueblo- Colorado,Swearingen SA.227AC Metro III
 Pennsylvania,Pittsburgh Skyways Inc.,1936-09-05,Near Pittsburgh- Pennsylvania,Stinson SM 6000B
 England,Plane Sailing,1998-07-27,Southhampton- England,Consolidated PBY-5A Catalina
 Illinois,Planemasters,2002-12-17,Rockford- Illinois,Cessna 208B Caravan I Super Cargomaster
 Cambodia,PMT Air,2007-06-25,Near Sihanoukville- Cambodia,Antonov AN-24V
 Canada,Points North Air Services,2000-03-17,Ennadai Lake- Canada,Douglas C-47A-5-DK
 Russia,Polyarnya Aviatsiya,1945-12-25,Near Dudinka- Russia,Douglas DC-3
 Western Samoa,Polynesian Airlines,1970-01-13,Faleolo- Western Samoa,Douglas DC-3
 Samoa,Polynesian Airlines,1997-01-07,Near Moamoa- Samoa,de Havilland Canada DHC-6 Twin Otter 300
 Ireland,President Airlines,1961-09-10,Shannon- Ireland,Douglas DC-6B
 Hawaii,Price Aircraft Company,2000-05-10,Kaunakakai- Hawaii,Rockwell Sabreliner 65
 Puerto Rico,Prinair,1969-03-05,San Juan- Puerto Rico,de Havilland DH-114 Heron 2D
 Puerto Rico,Prinair,1972-06-24,Ponce- Puerto Rico,de Havilland DH-114 Heron 2B
 Virgin Islands,Prinair,1979-07-24,St. Croix- Virgin Islands,de Havilland DH-114 Heron
 Mexico,Procuradoria General de la Republica,2004-05-02,Near Milpillas- Mexico,Rockwell Gulfstream Jetprop 840
 Mexico,Procuraduría General de la República,2002-01-15,Chilpancingo- Mexico,de Havilland DHC-6 Twin Otter 300
 Angola,Professional Aviation Services,1992-08-31,Jamba- Angola,Douglas DC-3
 Alaska,Promech Air,2015-06-25,Ella Lake- Alaska,de Havilland DHC-3T Vazar TurbineOtter
 Canada,Propair,1998-06-18,Montreal- Canada,Swearingen SA-226TC Metroliner II
 Florida,Provincetown - Boston Airlines,1984-09-07,Near Naples- Florida,Cessna 402C
 Florida,Provincetown - Boston Airlines,1984-12-06,Jacksonville- Florida,Embraer 110P1 Bandeirante
 Newfoundland,Provincial Airlines,1999-03-19,Davis Inlet- Newfoundland- Canada,de Havilland Canada DHC-6 Twin Otter 300
 Indonesia,PT Air Regional,2003-03-27,Mulia- Indonesia,de Havilland Canada DHC-6 Twin Otter
 Northwest Territory,Ptarmigan Airways,1990-06-06,Thistle Lake- Northwest Territory- Canada,de Havilland Canada DHC-6 Twin Otter 300
 Ukraine,Pulkovo Airlines,2006-08-22,Near Donetsk- Ukraine,Tupolev Tu-154M
 Russia,Pulkovo Aviation Enterprise,2002-07-28,Moscow- Russia,Iluyshin Il-86
 Missouri,Purdue Airlines Inc.,1968-06-28,Vichy- Missouri,Douglas DC-3 (C-47-DL)
 Qld,Qantas,1927-03-24,Tambo- Qld- Australia,de Havilland DH-9C
 Australia,Qantas,1928-09-04,Adelaide Hills- Australia,de Havilland DH.50J
 Australia,Qantas,1934-10-03,Near Winton- Australia,de Havilland DH-50A
 Australia,Qantas,1934-11-15,Near Longreach- Australia,de Havilland DH-86
 Australia,Qantas,1938-12-12,Darwin- Australia,Short S23 ‘C’ Class flying boat
 Timor,Qantas,1942-01-30,Near Kupang- Timor,Short S-23 (flying boat)
 Brisbane,Qantas,1942-02-20,Off Belmont- Brisbane- Australia,deHavilland DH-86
 New Guinea,Qantas,1943-04-22,Off Port Moresby- New Guinea,Short S-23
 New Guinea,Qantas,1943-11-26,Port Moresby- New Guinea,Lockheed L-18-56 Lodestar
 Australia,Qantas,1944-10-11,Sydney- Australia,Short S-23 (flying boat)
 Australia,Qantas,1944-10-11,Sydney- Australia,Short S.23 Empire Flying Boat
 New Guinea,Qantas,1951-07-16,Off Lae- New Guinea,de Havilland DHA-3 Drover II
 Papua,Qantas,1951-12-13,Yaramunda- Papua- New Guinea,de Havilland DH-84 Dragon
 Newfoundland,Quebecair,1956-01-17,Oreway- Newfoundland- Canada,Douglas DC-3
 PQ,Quebecair,1979-03-29,Ste. Foy- PQ- Canada,Fairchild F-27
 British Columbia,Queen Charlotte Airlines,1946-08-31,Near Prince Rupert- British Columbia- Canada,Supermarine Stranraer (flying boat)
 BC,Queen Charlotte Airlines,1951-10-17,Mt. Benson- BC- Canada,Consolidated PBY-5A Catalina
 Australia,Queensland Airlines,1949-03-10,Coolangatta- Australia,Lockheed 18 Lodestar
 Australia,Queensland Airlines,1954-03-14,Off Mackay- Australia,Douglas C-47A
 Stirlingshire,Railway Air Service Ltd.,1946-09-27,Near Milngavie- Stirlingshire- Scotland,de Havilland 89A Dragon Rapide
 Northern Ireland,Railway Air Services Ltd.,1946-04-01,near Craigavad- Northern Ireland,de Hvilland 89A Dragon Rapide
 Alaska,Rainbow King Lodge,2015-09-15,Iliamna East Wind Lake- Alaska,de Havilland Canada DHC 3T Turbine Otter
 France,RAM,1989-02-06,Marseille- France,Vickers 952F Vanguard
 Missouri,Rapid Air Transport,1934-08-31,Amazonia- Missouri,Stinson SM-6000B
 Montana,Rapid Air Transport,1934-11-15,Amazonia- Montana,Stinson SM-6000-B
 Brazil,REAL,1949-12-01,Taquaracucu- Brazil,Douglas DC-3 (C-47-DL)
 Brazil,REAL,1951-08-17,Ubatuba- Brazil,Douglas DC-3
 Brazil,REAL,1953-04-10,Near Anchieta Island- Brazil,Doublas Dc-3
 Brazil,REAL,1955-03-06,Vitoria da Conquista- Brazil,Douglas DC-3
 Brazil,REAL,1957-04-10,Anchieta Island- Brazil,Douglas DC-3
 Uruguay,REAL,1957-09-18,Montevideo- Uruguay,Convair CV-440-62
 Brazil,REAL,1960-06-24,Rio de Janeiro- Brazil,Convair CV-340-62
 Brazil,REAL,1960-12-07,Cachimbo- Brazil,Curtiss C-46A-60-CK
 SC,REAL Transportes Aereos,1961-09-06,Concordia- SC- Brazil,Douglas C-47A (DC-3)
 Russia,Red Wings Airlines,2012-12-29,Moscow- Russia,Tupolev TU-204-100V
 Alaksa,Rediske Air,2013-07-07,Soldotna- Alaksa,de Havilland Canada DHC-3T
 Alakska,Reeder Flying Service,1970-07-03,McGrath- Alakska,Douglas DC-3
 Alaska,Reeve Aleutian Airlines,1959-09-24,Great Sitkin Island- Alaska,Douglas C-54B
 Alaska,Reeve Aleutian Airways,1983-06-08,Near Cold Bay- Alaska,Lockheed L-188C Electra
 New Jersey,Regina Cargo Airlines,1950-05-27,Teterboro- New Jersey,Curtiss C-46F-1-CU
 Washington,Regina Cargo Airlines,1953-09-01,Vail- Washington,Douglas DC-3
 Russia,Regional Airlines,2005-03-16,Varandey- Russia,Antonov 24
 France,Regional Compagnie Aerienne Europeenne,2007-01-25,Pau- France,Fokker 100
 off Angola,Renan Airways,1997-12-27,Atlantic Ocean- off Angola,Antonov An-72
 French Polynesia,Réseau Aérien Interinsulaire,1958-02-19,Raiatea- French Polynesia,Consolidated PBY-5A Catalina
 Kentucky,Resort Airlines,1953-09-28,Louisville- Kentucky,Curtiss C-46F-1-CU
 New Jersey,Reynolds Airways,1927-09-17,Hadley- New Jersey,Fokker F-VII
 Zimbabwe,Rhodesian Air Services,1961-11-22,Harare- Zimbabwe,?
 New Mexico,Richmor Aviation,2002-11-08,Taos- New Mexico,IAI 1124A Westwind
 Brazil,Rico Linhas Aereas,2004-05-14,Near Manaus- Brazil,Embraer 120ER Brasilia
 South Carolina,Riddle Airlines,1955-12-17,Hollywood- South Carolina,Curtiss C-46A
 Georgia,Riddle Airlines,1959-03-30,Alma- Georgia,Curtiss C-46A
 Quebec,Rimouski Airlines,1948-07-24,Cap-des-Rosiers- Quebec- Canada,Douglas DC-3
 Spain,Rinaldo Piaggio,1968-06-18,San Sebastian- Spain,Piaggio PD-808
 New York,Robinson Airlines,1950-09-04,Utica- New York,Douglas DC-3
 Coloado,Rocky Mountain Airways,1978-12-04,Near Steamboat Springs- Coloado,de Havilland Canada DHC-6 Twin Otter 300
 Italy,Romanian Banat Air,1995-12-13,Verona - Villafranca- Italy,Antonov AN-24B
 Texas,Rotorcraft Leasing Co,2008-12-11,Off Sabine Pass- Texas,Bell 206-L4 Jet Ranger III
